City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,San Lorenzo,PY,76.59,overcast clouds,-25.3333,-57.5333,Hotel del Sur
499,Sabang,ID,82.06,overcast clouds,5.8933,95.3214,Hotel Citra
502,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
508,Buta,CD,74.8,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
510,Ngunguru,NZ,77.16,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
511,Esperance,AU,82.24,clear sky,-33.8667,121.9,Hospitality Esperance
520,Flinders,AU,76.05,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
523,Pangai,TO,80.1,light rain,-19.8,-174.35,Ha'apai Beach Resort
529,Cockburn Town,TC,75.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
533,Maningrida,AU,87.76,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
534,Nhulunbuy,AU,86.61,light rain,-12.2333,136.7667,East Arnhem Real Estate
538,Batticaloa,LK,74.79,overcast clouds,7.7102,81.6924,Grand Star Guest House
540,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
542,Nova Olimpia,BR,74.01,overcast clouds,-14.7972,-57.2881,Motel glamour
543,Fare,PF,80.47,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
546,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
547,Namatanai,PG,85.5,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
551,Nakhon Thai,TH,80.38,scattered clouds,17.1006,100.8374,Phet resort
552,Timbauba,BR,79.88,clear sky,-7.5053,-35.3183,Alane’s house
554,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
555,Tondi,IN,79.09,overcast clouds,9.7333,79.0167,Star Lodge
557,Victoria Point,AU,80.91,broken clouds,-27.5833,153.3,Bay Retreat Motel
562,Kudahuvadhoo,MV,81.55,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
563,Gouyave,GD,75.97,few clouds,12.1646,-61.7296,Rumboat Retreat
567,Miramar,US,75.22,clear sky,25.9873,-80.2323,Casa Miramar
569,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
570,Takoradi,GH,79.3,light rain,4.8845,-1.7554,Raybow International Hotel
578,Maragogi,BR,78.31,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
585,Santa Luzia,BR,74.3,clear sky,-19.7697,-43.8514,Pousada Chao Earth
595,Ponce,PR,72.36,few clouds,18.073,-66.6185,Motel Golden Hills
597,Cabral,DO,74.79,broken clouds,18.25,-71.2167,galvin feliz
599,Launceston,AU,74.61,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
600,Clearwater,US,72.41,clear sky,27.9659,-82.8001,Shephard's Beach Resort
603,Vaitape,PF,80.76,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
605,Mililani Town,US,78.46,few clouds,21.45,-158.0011,Excelsior Lodge #1
609,Haapiti,PF,85.73,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
612,Palu,ID,87.71,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
613,Carauari,BR,72.37,broken clouds,-4.8828,-66.8958,Hotel Fellip
614,Parkes,AU,78.35,clear sky,-33.1333,148.1833,Station Motel
617,Sisophon,KH,76.17,few clouds,13.5859,102.9737,Pyramid Hotel
618,Kandrian,PG,89.58,broken clouds,-6.2167,149.55,Kandrian Station
624,Golden Gate,US,72.01,clear sky,26.1879,-81.6951,Quality Inn & Suites Golf Resort
632,Port Augusta,AU,87.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
633,Samarinda,ID,86.25,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
639,Dhidhdhoo,MV,81.07,broken clouds,6.8833,73.1,Dhidhoo beach
643,Finca Corredor,PA,80.58,scattered clouds,8.35,-82.85,La casa de José
647,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
650,Waingapu,ID,85.86,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
658,Broken Hill,AU,78.51,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
660,Wonthaggi,AU,78.06,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
667,Iracoubo,GF,76.37,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
674,Luanda,AO,75.51,overcast clouds,-8.8368,13.2343,Hotel Fórum
682,Agboville,CI,73.02,clear sky,5.928,-4.2132,hotel LE PRESTIGE
