City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Dwarka,IN,22.2394,68.9678,68.85,58,5,9.78,clear sky
79,Olafsvik,IS,64.8945,-23.7142,27.25,67,100,22.17,overcast clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,69.1,81,100,3.0,moderate rain
81,Yulara,AU,-25.2406,130.9889,78.64,27,0,8.05,clear sky
82,Changde,CN,29.0464,111.6783,43.54,61,6,5.68,clear sky
83,Manaus,BR,-3.1019,-60.025,75.69,100,75,1.14,moderate rain
84,Sept-Iles,CA,50.2001,-66.3821,0.05,65,100,5.01,overcast clouds
85,Asau,RO,46.4333,26.4,22.12,74,42,5.99,scattered clouds
86,Lorengau,PG,-2.0226,147.2712,85.05,63,96,8.52,overcast clouds
87,East London,ZA,-33.0153,27.9116,68.38,89,100,7.65,light rain
88,Tiarei,PF,-17.5333,-149.3333,86.02,74,26,13.91,light rain
89,Quatre Cocos,MU,-20.2078,57.7625,79.09,86,98,18.5,moderate rain
90,Lompoc,US,34.6391,-120.4579,62.28,60,0,11.5,clear sky
91,Cayenne,GF,4.9333,-52.3333,78.1,90,75,7.0,mist
92,Norman Wells,CA,65.282,-126.8329,-7.56,64,75,21.85,broken clouds
93,Butaritari,KI,3.0707,172.7902,82.62,77,47,18.12,scattered clouds
94,Ancud,CL,-41.8697,-73.8203,56.43,90,8,3.0,clear sky
95,Vila Velha,BR,-20.3297,-40.2925,73.35,96,75,1.01,mist
96,Avarua,CK,-21.2078,-159.775,80.65,83,20,8.05,few clouds
97,Calhoun,US,42.2506,-85.0005,17.42,56,100,0.0,overcast clouds
98,Iisalmi,FI,63.5592,27.1907,19.42,93,100,13.91,light snow
99,Dingle,PH,10.9995,122.6711,79.32,77,87,16.82,overcast clouds
100,Snezhnogorsk,RU,69.1933,33.2531,11.98,84,100,21.97,overcast clouds
101,Jasper,US,37.2001,-94.3502,22.91,63,0,8.05,clear sky
102,Japura,ID,-0.3167,102.35,78.6,86,100,1.21,overcast clouds
103,Fortuna,US,40.5982,-124.1573,51.48,90,0,10.36,clear sky
104,La Primavera,CO,5.4906,-70.4092,85.5,45,91,6.62,overcast clouds
105,Tura,IN,25.5198,90.2201,54.64,93,27,1.79,scattered clouds
106,Antalaha,MG,-14.9003,50.2788,76.35,79,100,4.79,overcast clouds
107,Black River,JM,18.0264,-77.8487,78.8,82,19,3.69,few clouds
108,Caramay,PH,10.1815,119.236,79.74,84,88,13.94,overcast clouds
109,Espanola,US,35.9911,-106.0806,28.08,80,2,1.01,clear sky
110,Opole,PL,50.5,18.0,42.4,76,100,15.48,overcast clouds
111,Keti Bandar,PK,24.1447,67.4497,67.86,56,1,6.69,clear sky
112,Kawanoe,JP,34.0167,133.5667,42.87,53,99,24.18,overcast clouds
113,Arraial Do Cabo,BR,-22.9661,-42.0278,75.97,86,100,21.81,overcast clouds
114,Hermanus,ZA,-34.4187,19.2345,63.81,70,1,18.03,clear sky
115,Hudson Bay,CA,52.85,-102.3842,-5.67,99,100,5.79,light snow
116,Pitimbu,BR,-7.4706,-34.8086,81.19,72,5,9.55,clear sky
117,Spirit River,CA,55.7833,-118.8361,12.72,99,98,4.05,overcast clouds
118,Simbahan,PH,6.3032,120.5836,81.12,76,67,15.08,broken clouds
119,Lima,PE,-12.0432,-77.0282,70.05,78,0,1.01,clear sky
120,Khovu-Aksy,RU,51.1333,93.6,-12.35,90,24,4.92,few clouds
121,Requena,ES,39.4883,-1.1004,48.13,55,100,1.77,overcast clouds
122,Dumai,ID,1.6833,101.45,78.15,91,99,5.32,overcast clouds
123,Oyama,JP,36.3,139.8,48.52,23,19,5.3,few clouds
124,Toropets,RU,56.4978,31.6353,5.94,99,100,7.18,overcast clouds
125,Saskylakh,RU,71.9167,114.0833,-9.0,99,99,5.28,overcast clouds
126,Iqaluit,CA,63.7506,-68.5145,-16.87,52,75,5.75,broken clouds
127,Sao Filipe,CV,14.8961,-24.4956,73.08,73,0,9.26,clear sky
128,Te Anau,NZ,-45.4167,167.7167,63.09,40,5,4.81,clear sky
129,Rabaul,PG,-4.1967,152.1721,84.74,65,18,13.82,few clouds
130,Ocean City,US,39.2776,-74.5746,36.99,91,100,7.0,light snow
131,Chuy,UY,-33.6971,-53.4616,69.04,94,0,4.76,clear sky
132,Hay River,CA,60.8156,-115.7999,-16.62,76,75,8.05,broken clouds
133,Constitucion,CL,-35.3333,-72.4167,58.6,88,2,12.21,clear sky
134,Limbang,MY,4.75,115.0,84.51,68,100,2.28,overcast clouds
135,Gornyy,RU,55.1153,83.9059,6.8,84,99,11.01,overcast clouds
136,Salinas,US,36.6777,-121.6555,64.49,45,0,11.5,clear sky
137,Hasaki,JP,35.7333,140.8333,43.29,38,6,18.07,clear sky
138,General Roca,AR,-39.0333,-67.5833,64.8,64,61,17.4,light rain
